Trope Name,Trope Description,Text Length
Smooch of Victory,Just another Tuesday for Princess Peach Its time I gave you a proper thankyou Pucker up handsome— Flurrie Paper Mario The ThousandYear DoorMy hero mwahSome men quest for glory fame and riches Some men seek power and strength Some want To Be a MasterAnd some guys just want a kiss from the princess theyre trying to saveFor some strange reason princesses and other Love Interests seem to love giving out kisses as rewards for helping them The smooch of victory is a standard part of the Rescue Romance but it can appear in almost any scenario where a guy has the potential to impress a girl—either by winning a contest saving her from a horrible beast recovering her purse from thugs or whatever the plot writers think up The scenario generally goes like this Alice is in trouble Bob vows to help her Alternatively Bob is entering a contest He vows to win for Alices sake Bob overcomes obstacles goes through many trials and goes through hell and back for Alice He eventually saves Alice or reaches his goal Alice says to Bob Oh Bob How can I ever thank you Alice then proceeds to show Bob exactly how she can thank him by giving him lipstick imprints right on the face If this is Bobs first Big Damn Heroes moment it will often result in PostKiss CatatoniaMay also occur in an AfterAction PatchUp in which case she may merely acknowledge his courage first — or may berate him for stupidly getting into the matter firstUsually Bob is a Nice Guy and hes perfectly content with receiving a kiss as his reward If hes lucky he might even get a fullon makeout session with the girl he just helped If hes not well even a chaste kiss on the cheek is pretty sweet Sometimes though Bob might be a lech whos only trying to help the girl in the hopes of lockin lips with her Thus this is one of those frequently invoked tropesThe most common ways to play with this trope are to have the kissee not want the kiss for some reason and try his darndest not to get it Alternatively if he goes into the rescue or competition expecting a kiss the girl at the other end may well refuse to give him one The question of why its desired if its out of obligation and thus doesnt actually mean anything may not be addressed A growing number of examples exists where both parties are the same sex if only for the sake of a quick jokeNote that in many historical settings kissing an eligible member of the opposite sex is Serious Business it may go all the way up to being tantamount to a marriage proposalSometimes it might be unplanned or the victory coincides with the resolving of their UST When prefaced with aggression its SlapSlapKissOne of the most popular methods of Ship Teasing Can overlap with The Big Damn Kiss if Rescue Romance is involvedIf the smooch is given by a damsel after being rescued from sexual assault they Got Over Rape InstantlySee The VJ Day Kiss for a Real Life example Compare Standard Hero Reward Rescue Sex Rescue Romance GladtoBeAlive Sex Sealed with a Kiss The direct opposite of Take That Kiss,3002
The Many Deaths of You,Dumb ways to die so many dumb ways to die Original image◊ courtesy of Yves Bourgelas Used with permissionplayer character choked on his own vomitwas killed by an exploding frogwas killed by trying too hard to be a great writerbroke his leg while kicking at the airdied of exhaustion on a bad daydied of old age— Some of the weirdest ways to die in ADOMSome games have a large variety of unique animations for deaths other than the standard take too much damage and then collapse These are most likely to be adventure games in which you face a variety of perils but sometimes action games can have a lot of ways to dieLikewise Gamebooks and Interactive Fiction let you die in many different ways some of them quite morbidIts occasionally lampshaded by some of the classic pointandclick adventure games in the form of Have a Nice Death When the game has only one or two unique ways to fail that may not always involve death its Non Standard Game Over If some of the deaths result from pure player stupidity this overlaps with Yet Another Stupid Death,1048
Appeal to Tradition,And how do we keep our balance That I can tell you in one word— Tevye Fiddler on the RoofAppeal to Tradition—also called Appeal to Antiquity or Weve Always Done It This Way—is the polar opposite of Appeal to Novelty where the older position is right See also They Changed It Now It Sucks Nostalgia Filter Older Is Better Ludd Was Right Good Old Ways and New Media Are Evil This tends to be rolled out regarding consumer products and morality in the former case they dont make em like they used to and in the latter it was better in the good ol days Old ways do tend to be workable or they dont become old ways in the first place what makes this a fallacy is the unstated assumption that no better way is possible See also Culture Justifies Anything and Nobody Ever Complained Before Quite similar to Appeal to Nature Cases of They Changed It Now It Sucks often fall into this fallacy eg Character x has always had blue eyes before so changing her eyes to green is bad,967
The Reason You Suck Speech                    aka Reason You Suck Speech,I always wondered what kind of person could do such a thing But now that I see you I think I understand Theres just nothing inside you Nothing at all Youre pathetic and sad and empty— Katara Avatar The Last Airbender to her mothers murdererSomeone delivers a speech to another character on all the reasons why that other character sucks or is a horrible person There are several contexts in which this can happen    openclose all folders      A Villain Addresses a Hero Not only has the Big Bad killed your Love Interest slain the Team Pet and finally taken over the world they must grind your selfworth into the asphalt and explain to you why you failed to stop their Evil Plan This is where they list all the reasons you are a poor excuse for a heroine and never had a prayer of stopping them you lack the skills the weapons and the powers needed you childishly fight for outdated ideals your costume is ugly and your mentor always hated youFrequently a brand of Evil Gloating andor Break Them by Talking In a welldone speech the villain will state things that the hero and audience cant argue with and when the fight is done the hero stays troubled because the Villain Has a Point However maybe theyre total BS but its delivered with such conviction it almost makes the hero and audience agree that they were wrong to have dared challenge the villain in the first placeSometimes it makes the point that the people the hero are trying to defend arent worth the trouble An especially arrogant Big Bad will use this to let the hero know theyre just a lesser version of the Big Bad himself and the only difference is theyre not saddled with morals A villain going for a lowblow might bring up some previous encounter between the two when they overpowered the hero as to state that the same thing will happen again What You Are in the Dark can and often does followMaybe the hero hurt the villain in the past or even caused their Start of Darkness maybe they abandoned them believed they were dead made them feel like theyd been replaced etc This will be what the villain addresses in this speech reminding the hero of everything theyve done to hurt them The hero might even be affected by this and have no good responseA hero worth their salt might respond with their own speech along the lines of a No More Holding Back Speech or a Picard or Kirk Summation among others If its an action movie the hero will usually say Shut Up Hannibal and then declare what and who they truly are Sometimes the hero survives only because theyre Not Worth Killing in which case theyll invariably prove that they are later in the story Often a Moment of Awesome if a Jerkass gives this to someone and they respond with a better one    A Hero Addresses a Villain Heroes can also give defeated villains The Reason You Suck Speeches often pointing out their wasted potential their callous nature and a lack of any altruistic quality or how their obsession with defeating the hero has ruined them or in the case of the WellIntentioned Extremist adversary how theyve become everything theyve fought against or how their extremes in trying to bring a better world have done more to ruin it Heroic The Reason You Suck Speeches come out when the heros not going to bother with the Kirk Summation Chances are they tried the diplomatic option and it didnt sink inA villain will usually respond by entering a Villainous Breakdown upon realizing the heros words have a grain of truth to them and being unable to stand it The WellIntentioned Extremist may acknowledge it but then state Ive Come Too Far Sometimes the villain will say Shut Up Kirk and mock them for thinking they could be swayed by mere words    A Villain Addresses Another Villain Villains can also give this to other villains on an Evil Versus Evil stage The content of this speech is usually along the lines of how theyre Eviler than Thou and pointing out flaws and shortcomings in the other villain like the Magnificent Bastard or Bitch chiding a Smug Snake a CardCarrying Villain mocking a Knight Templar for employing the same methods but believing their actions to be right and just a calculating practitioner of Pragmatic Villainy berating a Stupid Evil villain for being too sadistic to actually achieve anything or in a conflict between the Evil Genius and The Brute have the Evil Genius mock the Brute for using brute force to compensate for their low intelligence and explain their simplemindedness makes him predictable and as such easy to beat or the Brute pointing out how the Evil Genius relies on their minions and Humongous Mecha to fight their battles and for all their vaunted intelligence they cant make any of their big schemes stickAlternatively it could take the form of Even Evil Has Standards if the other villain did something they find completely unnecessary and appalling If two or more Professional Killers are hired to track down the heroes a Psycho for Hire can get this from a Hitman with a Heart who voices their disgust at the formers capacity for torture rape and enjoyment of destruction and killing or a Consummate Professional who loses patience with how their psychotic tendencies draw unwanted attention and their distaste for taking the simple approach makes the mission needlessly complicated If the Big Bad crosses the Moral Event Horizon the Noble Top Enforcer may drop one explaining how they were let down by their boss and feel betrayed by the one they looked up to before they quit A Defector from Decadence may give one against their entire country before they leave and if two villains team up to fight the heroes one of them may eventually break off their partnership with one of these as a way of establishing them as the Lighter Shade of Black Either way it can be a Moment of Awesome when the person on the receiving end has it comingThis form often doubles as a way to explain the reasoning behind a Villainous Rescue without Leaning on the Fourth Wall too hard    A Hero Addresses Another Hero Speeches from hero to hero usually come up whenever a heros Designated Hero status becomes irritating to the other protagonist or they feel that the hero being called out must be taken down a peg or more This is also occasionally done in Good Versus Good scenarios where a protagonists morality is being called into question by another protagonist who doesnt agree with their methods It usually takes place following a hero doing something particularly unheroic or if their general unpleasantness has gone past the point of acceptance Often doubles as What Were You Thinking and What the Hell Hero and in particularly bad circumstances it may cause allies to turn against one another    An AcquaintanceFriend Addresses Another AcquaintanceFriend This speech is given by someone whos just frustrated with the other person This is not an attempt to bring down or break an opponent This is not an exchange between heroes and villains heck they might even be friends This is someone tired of everything they have to deal with giving a frank and brutally honest assessment of the person theyre dealing with often in a What the Hell Hero moment This can be prone to backfire with a suitably shallow selfobsessed andor savvy target who typically responds with Youve just listed all of my best features Other times however the one who gave the speech overreacted and says that they are too harsh and its not really how they feel Will often provoke an attempted refutation or justification from the target which depending on the source can be played for comedy drama or Wangst If the target is a Designated Hero this occurrence just might motivate them to become a real hero    A Protagonist Calls Out Themselves Sometimes a protagonist in a particular shows is so filled with selfloathing that when prompted decide that theyre fed up with themselves and calls out the worst of villains themselves If done in a comedy or a Dramedy this is usually Played for Laughs However in other cases this is almost always done for drama This might be because the hero is suffering Heroic BSoD or might have implied or explicitly stated to suffer Depression This is the ultimate form of SelfDeprecation in a work Of course this could also be done to get people to sympathize with the protagonist    Someone Calls Out the Crowd The indulgences of the crowd disgusts the speaker to such an extent that they must speak out against it Calling everyone in attendance for their failures in life in a cruel but often necessary manner If it gets meta and is directed at the audience it also counts as You BastardOne thing all seven types of speech have in common is that the speaker has a point even if theyre villains To give a speech about it the speaker has to have thought it through and can usually have more than one reason why you suck This is because the writer of the story has also thought it through This is a sister trope to Calling the Old Man Out or Calling the Old Woman Out Compare Talking the Monster to Death where this is meant to kill or redeem a villain Could also be a Take That Scrappy where someone tells a hated character what the audience feels about them This can lead to failure if the character receiving the speech Cant Take Criticism Can also overlap with a Cowardice Callout which is when someone calls someone else out for fearbased shortcomingsCompare and contrast the No More Holding Back Speech which may incorporate elements of this See also Did You Actually Believe and Youre Nothing Without Your Phlebotinum An ArmorPiercing Response can provide a short but effective way of calling someone out Put to music this is The Diss Track and can become a The Villain Sucks Song or The Hero Sucks Song ForeignLanguage Tirade is quite fittingly a foreignlanguage variant of this tropeContrast Minor Insult Meltdown where just the tip of the you suck iceberg can sink someone to tears Contrast also You Are Better Than You Think You Are and Grade System Snark See also Compassionate Critic and Constructive CriticismLastly no this isnt the trope thats about the reasons that characters are bad at speaking Neither is it a meta Justification for This Loser Is You Finally youll find that some of these can be used to serve as Dare to Be Badass speeches too,10242
Magical Security Cam,Its very sweet until you realize how many hidden cameras he had to set up to get all this— Bill Corbett Batman  Robin RiffTraxIn many situations where someone watches a recording of an event that the audience has already seen happening the recording will — by the purest coincidence — happen to use exactly the same footage that the audience has already witnessed That is to say it will include all the same dramatic camera angles pans and zooms as the original scene despite that theres no way an inuniverse device especially a stationary device like a fixed security camera could have captured and produced such well cinematic footageEven if not recycled footage there are other elements used to produce a similar results including Perfect composition especially notable on a panning camera keeping perfect pace with the subject They are rarely standing in the upper right corner of the screen with their back turned Cinematic angles as most security cameras are stationed near the ceiling looking down not making it very effective in showing a closeup of an actor Even the footage of an InUniverse camcorder using Jitter Cam can make you wonder why the subjects arent aware they are being recorded Dynamic editing letting us jump in at the best part Especially helpful with paring down the footage from multiple cameras as even just a splitscreen means someone had to sync it up Image resolution and sound quality on par with nonsecurity cam footage Even in the modern era of 4K cameras many security cameras used today still produce lowresolution images that can even make it difficult to make out facial detail Smooth continuous video A camera that continuously records and saves high resolution high frame rate video will run out of storage space in short order Even today security cameras tend to have very low frame rates you only need a few frames per second to be able to at least tell what is going on and often only save footage when movement is detectedSometimes this is Hand Waved by overlaying visual effects on the recording — conversion to blackandwhite simulated scanning lines a datetime stamp or watermark meaningless computerese advanced technology where cameras can be anywhere and so on this still doesnt change the fact that the movie isnt attempting to recreate the scene as it would actually appear to the inuniverse device This is only averted in science fiction settings where the footage is often a holographic recording instead allowing the characters to directly observe the incidentSee also Magical Computer Caught on Tape Compare Surveillance as the Plot Demands where the footage is equally implausible but due to location How did they get a camera on the moon and not necessarily the angles For security cams that are actually magical see Magical Camera,2788
Hollywood Heart Attack,A CERTAIN ONOMATOPOEIAOooo Its the Big One You hear that Elizabeth Im comin to you Im comin home to join you honey— Fred Sanford Sanford and SonYour character is going along in their daily life when suddenly they complain of a shooting radiating pain in their left shoulder and arm Within seconds they stagger clutching at their chest while their face turns bright red then they drop like a stone to the floor unconscious and probably dead Congratulations your characters just had a Hollywood Heart AttackMay be consciously averted in modern medical dramas if the writers careReal Life heart attacks vary in their nature ranging from dying in your sleep to chestclutching dramatics to ones you dont realize youve had until an ECG years later discovers the damage left behind Some sufferers collapse some dont Some throw up some faint This is especially true for women While some women do have chest pain the more common heart attack symptoms in women are nausea dizziness heartburn and feeling faint and therefore may go unnoticed or mistaken for simple stress or indigestion because the symptoms are so vague A massive heart attack can also make blood gather in the veins of the lower intestine and weigh it down making the person feel like they have to use the bathroom When you hear of people dying on the toilet that is usually what happened this also is why hospital bathrooms have emergency pulls by the toiletsNote that some examples go so far wrong as to call a heart attack heart failure which is a completely different group of syndromesnote In addition to congestive heart failure CHF which is the most common theres also acute decompensated heart failure highoutput heart failure and a number of other subtypes that has to do with the hearts ability to efficiently pump the blood it receives,1803
Driven by Envy,Whos the greenest one of allIn the untalented excellence generates a sense of wonder and amazement In the merely talented on the other hand genius creates burning hatred and envy— Harlan Ellison from his introduction to The Sandman Season of Mists by Neil GaimanSometimes the heros many strengths and talents will inspire due awe and respect and envy No matter how amazing and lovable the protagonist is these traits will invariably manage to rub somebody the wrong way sometimes prompting people into doing horrible things just to get the hero out of their sightA subtrope of GreenEyed Monster Driven by Envy is a trope that deals specifically with a character acting on his envy It is related to Always Second Best Expect the character to think the one he envies is as preoccupied with him as the other way around and even that he deliberately excels in order to rub the envious characters nose into itFor those instances where love rather than envy is the impetus for the misdeeds see If I Cant Have You and Murder the Hypotenuse,1032
My Country Tis of Thee That I Sting,An antipatriotic joke made by people from the very country its poking fun atIf what your country is doing seems to you practically and morally wrong is dissent the highest form of patriotism— The Use of Force in International Affairs 1961 note The quote has been misattributed to Thomas Jefferson but has been used by Howard Zinn in his Dissent In Pursuit of Equality Life Liberty And Happiness An Interview With Historian Howard Zinn 2002While patriotism can be noble or nice there can be times when one is ashamed of their country Usually its politically or socially motivated Some people dislike the imperialistic militaristic chauvinistic or nationalistic approach of their own government and fellow citizens Others especially minorities have been victimized by their government or their fellow citizens and resent the majorityThese are the people who feel that My Country Right or Wrong is mostly wrong and have nothing but contempt for Misplaced Nationalism They will vocally criticize their own country and feel that they are in their right to do so since they were born there themselves Though they can sometimes be categorized as misanthropes or a Boomerang Bigot there are also enough examples of people having good reasons andor arguments to criticize their country of birth This can result into active protest marches with the intent to change things Or in a less drastic fashion result in SelfDeprecation comedy done for satirical purposesIn some countries such criticism is seen as highly unpatriotic even treasonous Dictatorships are the most obvious example but even in some democratic countries expressing such opinions can bring people into serious trouble and politicians opposing those in power will take pains to emphasize that they love their country despite their disagreements Yet in a truly free society criticism of your own country should be respected Lots of sociological revolutions and changes have occurred just because people questioned the ideas of their government and society and many modern countries trace their founding date to such uprisings celebrating them with patriotic songs and holidays People who embody this trope usually consider criticism of their homeland as an act of patriotism in itself reflecting the other part of My Country Right or Wrong if wrong to be set rightContrast with Propaganda Piece See Misplaced Nationalism for criticism of one people or country towards another Offending the Creators Own would be the religious and ethnic equivalent of this trope See also Cultural Cringe when this is done against a creators culture and BitingtheHand Humor when this is done against the productions distributor Compare Hail to the Thief when criticism is directed toward the head of state often in song,2756
Let Us Never Speak of This Again,Sometimes you dont want to know all the bare details of a storyJesse You know how you have those experiences you remember and reminisce about for the rest of your life Axel Yeah Jesse This isnt one of those Lets never discuss this ever again— Minecraft Story ModeA character must perform an act that is either against their nature or which they have vehemently and constantly protested against doing Said action can also be just plain humiliating or all of the above—to all parties perhaps When this act is aided or witnessed a character insists that either they must all never speak of this again ever or that a specific person who is guaranteed to ride them never hears of itOr to put it another way What happened here stays hereThis trope can be used to introduce a Noodle Incident with one character reminding the other they promised never to speak of that again Alternatively they may have just completed the action make some passing reference to how unusual or interesting it was and then pull this lineSubversions can occur when the characters kept in the dark reveal themselves to have known all along or if the character who would have used the incident as ammunition against all expectations chooses not to do so Sometimes that somebody will bring it up again earning the reaction I thought we agreed to never speak of it again or something close to thatIt can be parodied by the persons who are told to never mention it again being genuinely unaware of what happened for whatever reason leading them to ask something like Speak about what again which is then taken by the person wanting the secret kept as a joke implying compliance with their wishPrequels occasionally resort to this trope as a way to justify their events not being mentioned in works that were written earlier but set as a later date inVerseWill often be Played for Laughs as the thing that will never be mentioned was usually something funnyembarrassing or Played for Drama especially if the event was something that happened between two characters who may or may not end up together,2064
NighInvulnerability,The Tick Urgh Got to pull myself to gether Must defy laws of physics Arthur Fight it Tick Fight that black hole— The TickSomeone cannot be harmed Merely fighting them wont make them go away if at all possible their defeat requires one to figure out how which is a legendary quest in and of itself Usually the ability of the Big Bad in scifi and fantasy settings few heroes get this one Except in Super Hero series with Superman being the flagship exampleEither one has to find their Achilles Heel or else summon up a nuclearbombs worth of power in the last episode either through The Power of Love or Ki Manipulation or really heavy armaments eg When All You Have Is a Hammer and hope for Villain DecaySometimes a vaguely defined nighinvulnerability is a way to make a hero only as tough as he needs to be to advance the plotTheres a number of ways one can have Nigh Invulnerability Made of Diamond The power of the Implacable Man and The Juggernaut nothing does anything to this being Not a boot to the head or a bullet to the eye or a sledgehammer to the groin Sufficiently strong characters might be able to knock them through a wall or mountain but just one hit like that wont have any lasting effect This is generally what people first think of when referring to this trope Ironically the title is a bit of a misnomer While in real life diamonds have extreme hardness they lack toughness and are brittle enough to be shattered by a hammer Made of Air Going the opposite direction there doesnt seem to be something to fight but that something can fight you Either they have the power of Super Smoke or Intangibility completely at will so that you cant attack them or they may exist in some form that makes direct confrontation just not possible an Astral Projection for example or just a plain old ghost Made of Liquid AKA The Blob a common variant of this when the character is made of some sort of fluid stuff that makes him tangible but completely impervious to damage with bludgeoning or piercing weapons Made of Rubber Somewhere in between the last two where most attacks just seem to bounce off with little to no effect to the victim Kevlard Similar to made of rubber but with protective blubber instead This is the form that XMens Blob benefits from Unlike the former usually they have some sort of weak spot RegenerationRegrowth They have the truly nasty tendency to recover from anything Cut off their head and it grows back Cut them to pieces and they just reassemble themselves Burn them to ashes and mail them to Mexico Norway and Hong Kong and theyll rebuild themselves From a Single Cell Whether the character can survive being utterly atomised varies from fiction to fiction External RepairSpare Body Parts Like regenerationregrowth but external Most common with machines and cyborgs but occasionally works for the undead or supernatural and sometimes even a skilled Mad Doctor can pull this off with normal organisms Chop off an arm Meh if its too damaged to reattach no big deal its replaceable Blown into tiny chunks That might take a little longer but can sometimes still be fixed Body Backup Drive is the most extreme form of this with a character being able to transfer their consciousness into a complete replacement body This new body may be modified as necessary and possibly have some form of invulnerabilities themselves The Proxy When a person makes use of other bodies or identities in order to conceal themselves and avoid direct contact therefore reducing risk of injurydeath The proxy could take the form of a remotecontrol robot a cloned flesh puppet or a body double If the proxy is encountered often enough it can give the semblance of invulnerability Alternatively the person can be hit but the proxy somehow takes all the damage instead Multiple Bodies Similar to the above this classic power of the Hive Mind will render the death of one body irrelevant At worst to kill enemies with this ability will require killing every single part of him since even one survivor may be able to recreate a whole new army of selves However if they have a Hive Queen killing it may destroy the whole being Body Surf Similar to Multiple Bodies and Body Backup Drive above but instead they possess another living person to use for themselves possibly transforming the body of the possessed into something related to the new owner This may be even nastier than any of the above especially when it has no limitations on whom they can possess although usually destroying the body when the consciousness is still inside will kill both the possessed and the possessing entity permanently Usually Resurrection You technically can kill them but the problem is that they dont stay dead Just pray that they dont have the ability to adapt to whatever that managed to kill them before such that It Only Works Once andor unlimited amount of extra life Rebirth Related to above except when killed theyll be reborn as an infant Only applies if the character retains their memoriespersonality from their prior life and probably will want you dead for killing them the first time around No Pain While you can technically damage them their lack of pain receptors means that they will just keep coming Very much Depending on the Writer while a punch to the face will usually be ignored chopping off a limb will presumably limit anyones mobility regardless though some authors raise this ability to superhuman levels No Pain for the Undead Lack of pain is justified because the character is a member of the living dead This usually means that even severe organ damage can just be ignored though even such characters tend to have limits in how far this can be pushed Extreme Luck You dont need to be invincible when you never get hit Dumb LuckCrazy Luck The clumsy heroheroine can dodge everything just because of extreme luck Hilarity Ensues when the character is a Miles Gloriosus who believes they are Made of Diamond but are actually this or the Cloudcuckoolander leisurely strolls through Bullet Hell Impossibly Good Luck They charge headlong at a machine gun and win Often paired with The Determinator not all of the bullets miss just the lethal ones Expect an Oh Crap moment when paired with The Berserker Also the constant disappointment of a chronic Death Seeker Making Their Own Luck Some characters literally have luck on their side in the form of crunching the numbers only seeming to be relying on luck having a friendship with the one setting the odds or actually changing them themselves RealityWarping They dont want to be hurt so you cant hurt them Simple as that God Face it Sometimes you CANT kill a god Its physically and theologically impossible However other gods can sometimes kill gods so they do technically fit the nigh part Divine Protection The character itself is not a god but can survive anything due to intervention of a favorable godguardian angelspirit of parent that has been struck down and become more powerful than you can possibly imagine Can Only Kill Part of Him Fighting a Shadow Basically the whatsit that you were fighting was just its representation in the same world Killing its body in this dimensional plane is a mild setback if at all as it can grow that back very quickly or replace it Technically not that different from Resurrection from the mortals point of view but distinct in that the actual entity never died only their current physical manifestation Usually applies to gods demons and perhaps Cosmic HorrorA combination of limited supertoughness superpain tolerance and regeneration is a popular power set to render a character effectively nighinvulnerable while still being shown to suffer temporary pain and injury in a way that gives recognisable stakes to physical threats even if we know they wont be fatalThe Physical God Implacable Man The Juggernaut Blob Monster Iron Butt Monkey The Chew Toy and anything Made of Indestructium all probably have some form of Nigh InvulnerabilityCompare of course Immortality for the ways in which characters cannot die Contrast Made of Iron where no explanation is given for an individuals incredible resilience See also Immortal Life Is Cheap which applies to such cases as Multiple Bodies or Regeneration and Trainstopping which tends to have this as a requirement When someone is invulnerable to literally everything then it becomes Complete Immortality,8360
